P,H2O /wt%
4000,2.69991
3950,2.69991
3900,2.69991
3850,2.69991
3800,2.69991
3750,2.69991
3700,2.69991
3650,2.69991
3600,2.69991
3550,2.69991
3500,2.69991
3450,2.69991
3400,2.69991
3350,2.69991
3300,2.69991
3250,2.69991
3200,2.69991
3150,2.69991
3100,2.69992
3050,2.69992
3000,2.69992
2950,2.69992
2900,2.69992
2850,2.69992
2800,2.69992
2750,2.69992
2700,2.69956
2650,2.69905
2600,2.69852
2550,2.69797
2500,2.69738
2450,2.69678
2400,2.69615
2350,2.69548
2300,2.69477
2250,2.69404
2200,2.69325
2150,2.69243
2100,2.69155
2050,2.69061
2000,2.68962
1950,2.68855
1900,2.68741
1850,2.68618
1800,2.68485
1750,2.68341
1700,2.68184
1650,2.68013
1600,2.67825
1550,2.67617
1500,2.67386
1450,2.67128
1400,2.66838
1350,2.6651
1300,2.66134
1250,2.65701
1200,2.65196
1150,2.64599
1100,2.63886
1050,2.63023
1000,2.61959
950,2.60629
900,2.58937
850,2.56758
800,2.53928
750,2.50259
700,2.45572
650,2.39748
600,2.32765
550,2.24677
500,2.15571
450,2.05521
400,1.94556
350,1.82651
345,1.81406
340,1.80151
335,1.78885
330,1.77608
325,1.76321
320,1.75023
315,1.73713
310,1.72391
305,1.71058
300,1.69713
295,1.68357
290,1.66987
285,1.65607
280,1.64212
275,1.62804
270,1.61383
265,1.59949
260,1.58499
255,1.57036
250,1.55558
245,1.54063
240,1.52555
235,1.51029
230,1.49488
225,1.47928
220,1.46352
215,1.44755
210,1.43141
205,1.41508
200,1.39855
195,1.38179
190,1.36483
185,1.34763
180,1.3302
175,1.31253
170,1.29459
165,1.27638
160,1.2579
155,1.23911
150,1.22002
145,1.20061
140,1.18085
135,1.16073
130,1.14022
125,1.11931
120,1.09798
115,1.07616
110,1.05387
105,1.03104
100,1.00765
95,0.983639
90,0.958959
85,0.933567
80,0.90738
75,0.880315
70,0.852278
65,0.823172
60,0.792859
55,0.761176
50,0.727917
45,0.692822
40,0.655575
35,0.615723
30,0.572679
25,0.525551
20,0.472968
0,0